matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
829819,491.0,659.0,10.0,,0.0
829821,240.0,554.5,10.0,,0.0
829823,461.0,794.0,10.0,,0.0
980901,449.0,593.0,10.0,,0.0
980903,450.5,601.5,10.0,,0.0
980905,368.0,705.5,10.0,,0.0
980907,498.0,778.0,10.0,,0.0
980909,434.0,725.0,10.0,,0.0
980911,458.5,663.5,10.0,,0.0
980913,305.0,607.0,10.0,,0.0
980915,437.0,664.5,10.0,,0.0
980917,585.5,726.5,10.0,,0.0
980919,407.0,704.5,10.0,,0.0
980921,647.5,849.5,10.0,,0.0
980923,343.0,678.5,10.0,,0.0
980925,358.0,619.5,10.0,,0.0
980927,363.0,639.5,10.0,,0.0
980929,321.5,667.5,10.0,,0.0
980931,392.5,835.5,10.0,,0.0
980933,419.0,602.5,10.0,,0.0
980935,369.0,574.0,10.0,,0.0
980937,547.0,684.5,10.0,,0.0
980939,372.0,664.0,10.0,,0.0
980941,421.5,775.5,10.0,,0.0
980943,288.0,622.0,10.0,,0.0
980945,362.5,879.5,10.0,,0.0
980947,402.0,630.0,10.0,,0.0
980949,682.0,745.0,10.0,,0.0
980951,299.0,871.0,10.0,,0.0
980953,552.0,681.0,10.0,,0.0
980955,406.0,742.5,10.0,,0.0
980957,397.0,619.0,10.0,,0.0
980959,444.0,754.5,10.0,,0.0
980961,141.0,583.5,10.0,,0.0
980963,553.0,725.0,10.0,,0.0
980965,423.0,550.0,10.0,,0.0
980967,406.0,616.5,10.0,,0.0
980969,761.0,849.0,10.0,,0.0
980971,500.0,729.0,10.0,,0.0
980973,384.0,728.5,10.0,,0.0
980975,280.5,685.5,10.0,,0.0
980977,458.0,672.5,10.0,,0.0
980979,309.5,765.5,10.0,,0.0
980981,395.0,541.5,10.0,,0.0
980983,250.0,533.0,10.0,,0.0
980985,544.5,707.5,10.0,,0.0
980987,848.5,1035.5,10.0,,0.0
980989,301.5,400.5,10.0,,0.0
980991,232.0,632.0,10.0,,0.0
980993,220.0,805.5,10.0,,0.0
980995,452.0,681.0,10.0,,0.0
980997,280.5,534.5,10.0,,0.0
980999,652.0,841.0,10.0,,0.0
981001,281.0,585.0,10.0,,0.0
981003,570.5,631.5,10.0,,0.0
981005,435.5,778.5,10.0,,0.0
981007,347.5,768.5,10.0,,0.0
981009,540.0,643.0,10.0,,0.0
981011,407.5,607.5,10.0,,0.0
981013,404.0,921.5,10.0,,0.0
981015,324.0,669.0,10.0,,0.0
981017,360.0,736.5,10.0,,0.0
981019,587.0,811.0,10.0,,0.0
1082591,514.5,623.5,10.0,,0.0
1082592,483.0,728.0,10.0,,0.0
1082593,262.0,747.5,10.0,,0.0
1082594,314.0,556.0,10.0,,0.0
1082595,489.5,727.5,10.0,,0.0
1082596,337.0,615.5,10.0,,0.0
1082597,658.0,734.0,10.0,,0.0
1082598,449.0,656.0,10.0,,0.0
1082599,283.0,753.5,10.0,,0.0
1082600,500.0,680.5,10.0,,0.0
1082601,387.5,692.5,10.0,,0.0
1082602,279.0,744.0,10.0,,0.0
1082603,247.0,759.5,10.0,,0.0
1082604,387.5,636.5,10.0,,0.0
1082605,397.0,719.0,10.0,,0.0
1082606,438.5,640.5,10.0,,0.0
1082607,418.0,633.5,10.0,,0.0
1082608,455.0,684.5,10.0,,0.0
1082609,567.0,918.0,10.0,,0.0
1082610,588.0,723.0,10.0,,0.0
1082611,238.0,775.0,10.0,,0.0
1082612,384.0,801.0,10.0,,0.0
1082613,640.0,730.0,10.0,,0.0
1082614,368.0,642.0,10.0,,0.0
1082615,297.0,591.5,10.0,,0.0
1082616,558.0,711.0,10.0,,0.0
1082617,328.0,705.0,10.0,,0.0
1082618,325.0,654.0,10.0,,0.0
1082620,499.0,723.5,10.0,,0.0
1082621,371.5,645.5,10.0,,0.0
1082622,517.0,660.0,10.0,,0.0
1082623,423.0,821.0,10.0,,0.0
1082624,225.0,592.5,10.0,,0.0
1082625,273.0,776.0,10.0,,0.0
1082626,273.0,575.0,10.0,,0.0
1082627,588.5,790.5,10.0,,0.0
1082628,517.5,651.5,10.0,,0.0
1082629,557.5,790.5,10.0,,0.0
1082630,258.0,570.0,10.0,,0.0
1082631,494.0,711.0,10.0,,0.0
1082632,304.0,857.0,10.0,,0.0
1082633,557.5,789.5,10.0,,0.0
1082634,693.0,856.0,10.0,,0.0
1082635,450.5,711.5,10.0,,0.0
1082636,239.0,807.0,10.0,,0.0
1082637,556.0,781.0,10.0,,0.0
1082638,192.0,601.5,10.0,,0.0
1082639,431.0,692.5,10.0,,0.0
1082640,198.0,723.0,10.0,,0.0
1082641,483.5,790.5,10.0,,0.0
1082642,389.0,708.0,10.0,,0.0
1082643,615.5,821.5,10.0,,0.0
1082644,170.0,655.0,10.0,,0.0
1082645,200.0,530.0,10.0,,0.0
1082646,434.0,709.0,10.0,,0.0
1082647,366.0,675.5,10.0,,0.0
1082648,203.0,464.0,10.0,,0.0
1082649,345.0,681.5,10.0,,0.0
1082650,422.0,651.0,10.0,,0.0
1136561,441.0,728.0,10.0,,0.0
1136562,242.0,616.5,10.0,,0.0
1136563,286.0,739.0,10.0,,0.0
1136564,428.0,593.0,10.0,,0.0
1136565,559.5,735.5,10.0,,0.0
1136566,228.0,416.0,10.0,,0.0
1136567,335.0,721.5,10.0,,0.0
1136568,496.5,692.5,10.0,,0.0
1136569,297.0,762.0,10.0,,0.0
1136570,544.5,663.5,10.0,,0.0
1136571,612.5,748.5,10.0,,0.0
1136572,298.0,712.5,10.0,,0.0
1136573,621.0,774.0,10.0,,0.0
1136574,414.0,878.0,10.0,,0.0
1136575,418.0,631.0,10.0,,0.0
1136576,519.0,736.0,10.0,,0.0
1136577,696.5,888.5,10.0,,0.0
1136578,380.0,653.0,10.0,,0.0
1136579,376.0,720.0,10.0,,0.0
1136580,527.0,738.0,10.0,,0.0
1136581,222.0,739.0,10.0,,0.0
1136582,392.5,634.5,10.0,,0.0
1136583,250.0,617.0,10.0,,0.0
1136584,595.5,842.5,10.0,,0.0
1136585,249.0,841.5,10.0,,0.0
1136586,425.0,805.0,10.0,,0.0
1136587,415.0,660.5,10.0,,0.0
1136588,473.5,654.5,10.0,,0.0
1136589,525.5,665.5,10.0,,0.0
1136590,394.0,755.0,10.0,,0.0
1136591,457.0,707.0,10.0,,0.0
1136592,488.0,722.5,10.0,,0.0
1136593,405.0,646.0,10.0,,0.0
1136594,499.5,580.5,10.0,,0.0
1136595,279.5,598.5,10.0,,0.0
