date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,114,18.6,1,0,0,Nan,MM Ali,1,Varun Chakravarthy,F du Plessis,185,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,115,19.1,1,0,0,Nan,MM Ali,1,Shivam Mavi,F du Plessis,186,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,116,19.2,2,0,0,Nan,F du Plessis,2,Shivam Mavi,MM Ali,188,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,117,19.3,1,0,0,Nan,F du Plessis,1,Shivam Mavi,MM Ali,189,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,118,19.4,1,0,0,Nan,MM Ali,1,Shivam Mavi,F du Plessis,190,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,119,19.5,2,0,0,Nan,F du Plessis,2,Shivam Mavi,MM Ali,192,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,3,120,19.6,0,0,0,Nan,F du Plessis,0,Shivam Mavi,MM Ali,192,True,caught,F du Plessis,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,2nd innings,193,0,0,0.0,1,1,1,Nan,Shubman Gill,1,DL Chahar,Venkatesh Iyer,0,False,,,Kolkata Knight Riders,Chennai Super Kings
"0    2021-10-15
Name: date, dtype: object",1254117,2nd innings,193,0,1,0.1,4,0,0,Nan,Shubman Gill,4,DL Chahar,Venkatesh Iyer,0,False,,,Kolkata Knight Riders,Chennai Super Kings
"0    2021-10-15
Name: date, dtype: object",1254117,2nd innings,193,0,2,0.2,0,0,0,Nan,Shubman Gill,0,DL Chahar,Venkatesh Iyer,0,False,,,Kolkata Knight Riders,Chennai Super Kings
"0    2021-10-15
Name: date, dtype: object",1254117,2nd innings,193,0,3,0.3,0,0,0,Nan,Shubman Gill,0,DL Chahar,Venkatesh Iyer,0,False,,,Kolkata Knight Riders,Chennai Super Kings
"0    2021-10-15
Name: date, dtype: object",1254117,2nd innings,193,0,4,0.4,0,0,0,Nan,Shubman Gill,0,DL Chahar,Venkatesh Iyer,0,False,,,Kolkata Knight Riders,Chennai Super Kings
"0    2021-10-15
Name: date, dtype: object",1254117,2nd innings,193,0,5,0.5,0,0,0,Nan,Shubman Gill,0,DL Chahar,Venkatesh Iyer,0,False,,,Kolkata Knight Riders,Chennai Super Kings
