matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254106,R Tewatia,44.0,36.0,36.0,2.0,5.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,7.0,6.0,11.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,11.0,Batsmen,44.0,4.0,5.0,0,53.0,25.0,-6,0.0,0,19.0,72.0
1254106,RA Tripathi,22.0,15.0,15.0,,3.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,22.0,,3.0,0,25.0,,0,,0,,25.0
1254106,S Dube,18.0,20.0,20.0,1.0,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,12.0,12.0,18.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,9.0,AllRounder,18.0,2.0,,0,20.0,,-2,0.0,0,-2.0,18.0
1254106,SV Samson,1.0,4.0,4.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1254106,Shubman Gill,60.0,47.0,44.0,2.0,4.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,60.0,4.0,4.0,8,76.0,,0,,0,,76.0
1254106,Venkatesh Iyer,41.0,37.0,36.0,2.0,3.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,41.0,4.0,3.0,0,48.0,,0,,0,,48.0
1254106,Yashasvi Jaiswal,0.0,3.0,3.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254110,AR Patel,5.0,10.0,10.0,,,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,2.0,24.0,24.0,18.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,4.5,Bowler,5.0,,,0,5.0,50.0,4,0.0,0,54.0,59.0
1254110,AS Raut,23.0,15.0,13.0,,3.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,23.0,,3.0,0,26.0,,0,,0,,26.0
1254110,AT Rayudu,56.0,44.0,43.0,2.0,5.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,56.0,4.0,5.0,8,73.0,,0,,0,,73.0
